EYFP_ERF,mKate_ERF,EBFP2_ERF
2248.96,59610.19,1156.15
2248.96,40547.64,1156.15
78808.00,684067.37,68836.88
2248.96,2229.52,1156.15
2844089.22,1897159.99,34880.00
104763.58,2229.52,1156.15
2248.96,2229.52,1156.15
1346203.14,973241.06,1156.15
50369.21,63797.03,1156.15
90750.86,2329.49,1873.08
2966055.50,2625791.12,1156.15
2248.96,57492.13,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
44525.11,31902.44,31611.72
16487.28,38414.88,1156.15
120447.80,1112160.23,1156.15
2801951.74,11737623.37,40508.59
824046.51,1628172.42,18648.97
473645.09,950829.50,1156.15
12854.34,324355.23,1156.15
20494.91,36244.73,12418.34
2248.96,2229.52,1156.15
1756974.07,1947126.25,1156.15
14654.87,8764.05,1156.15
8541.36,27832.71,1156.15
126781.01,2229.52,1156.15
1483111.15,10305227.64,1156.15
2248.96,32075.39,1156.15
